Encuesta Nacional sobre Discriminación 2022,
,
Nombre de archivo,Título de Tablas
tvivienda_enadis2022,Características de la vivienda
tsdem_enadis2022,Características sociodemográficas
tindigena_enadis2022,Personas indígenas
tindigena_v_enadis2022,Personas indígenas concluidas por lineamiento
tafrodescendiente_enadis2022,Personas afrodescendientes
tafrodescendiente_v_enadis2022,Personas afrodescendientes concluidas por lineamiento
tdiscapacidad_enadis2022,Personas con discapacidad
tdiscapacidad_v_enadis2022,Personas con discapacidad concluidas por lineamiento
tmigrante_enadis2022,Persona migrante
treligion_enadis2022,Personas con diversidad religiosa
treligion_v_enadis2022,Personas con diversidad religiosa concluidas por lineamiento
tmayor_enadis2022,Personas adultas mayores
tnino_enadis2022,Niñas y niños
tadolescente_enadis2022,Adolescentes y jóvenes
tmujer_enadis2022,Mujeres
tcoe_enadis2022,Cuestionario de Opinión y Experiencias
