nombre_campo,longitud,tipo,nemónico,catálogo,rango_claves,,,
Número de folio,7,C,folio,,0100019...3260794,,,
Número de vivienda seleccionada,2,C,viv_sel,,01...37,,,
Número de hogar en la vivienda,1,C,hogar,,1...5,,,
Número de renglón de la persona elegida,2,C,n_ren,,01...14,,,
Pregunta P6.7.01 ¿Quién o quiénes estuvieron al cuidado de usted en esta etapa de su adolescencia? (Aunque no vivieran en la misma vivienda) - Mamá,1,C,p6_7_01,p6_7_01,"1,2",,,
Pregunta P6.7.02 ¿Quién o quiénes estuvieron al cuidado de usted en esta etapa de su adolescencia? (Aunque no vivieran en la misma vivienda) - Papá,1,C,p6_7_02,p6_7_02,"1,2",,,
Pregunta P6.7.03 ¿Quién o quiénes estuvieron al cuidado de usted en esta etapa de su adolescencia? (Aunque no vivieran en la misma vivienda) - Abuela(s),1,C,p6_7_03,p6_7_03,"1,2",,,
Pregunta P6.7.04 ¿Quién o quiénes estuvieron al cuidado de usted en esta etapa de su adolescencia? - Abuelo(s),1,C,p6_7_04,p6_7_04,"1,2",,,
Pregunta P6.7.05 ¿Quién o quiénes estuvieron al cuidado de usted en esta etapa de su adolescencia? (Aunque no vivieran en la misma vivienda) - Hermana(s),1,C,p6_7_05,p6_7_05,"1,2",,,
Pregunta P6.7.06 ¿Quién o quiénes estuvieron al cuidado de usted en esta etapa de su adolescencia? (Aunque no vivieran en la misma vivienda) - Hermano(s),1,C,p6_7_06,p6_7_06,"1,2",,,
Pregunta P6.7.07 ¿Quién o quiénes estuvieron al cuidado de usted en esta etapa de su adolescencia? (Aunque no vivieran en la misma vivienda) - Tía(s),1,C,p6_7_07,p6_7_07,"1,2",,,
Pregunta P6.7.08 ¿Quién o quiénes estuvieron al cuidado de usted en esta etapa de su adolescencia? (Aunque no vivieran en la misma vivienda) - Tío(s),1,C,p6_7_08,p6_7_08,"1,2",,,
Pregunta P6.7.09 ¿Quién o quiénes estuvieron al cuidado de usted en esta etapa de su adolescencia? (Aunque no vivieran en la misma vivienda) - Otro(s) familiar(es),1,C,p6_7_09,p6_7_09,"1,2",,,
