nombre_campo,longitud,tipo,nemónico,catálogo,rango_claves,,,
Número de folio,7,C,folio,,0100019...3260794,,,
Número de vivienda seleccionada,2,C,viv_sel,,01...37,,,
Número de hogar en la vivienda,1,C,hogar,,1...5,,,
Número de renglón de los residentes del hogar,2,C,n_ren,,01...26,,,
Pregunta PAREN ¿Qué es (NOMBRE) de la jefa o jefe?,1,C,paren,paren,1...8,,,
Pregunta SEXO (NOMBRE) es hombre. (NOMBRE) es mujer.,1,C,sexo,sexo,"1,2",,,
Pregunta EDAD ¿Cuántos años cumplidos tiene (NOMBRE)?,2,C,edad,edad,00...99,,,
Pregunta P3.6.1 ¿En qué día y mes nació (NOMBRE)? - DÍA,2,C,p3_6_1,p3_6_1,"01...31,99",,,
Pregunta P3.6.2 ¿En qué día y mes nació (NOMBRE)? - MES,2,C,p3_6_2,p3_6_2,"01...12,99",,,
Pregunta P3.6.3 ¿En qué día y mes nació (NOMBRE)? - CÓDIGO,1,C,p3_6_3,p3_6_3,"1,2",,,
Estrato de diseño,3,C,est_dis,,001...513,,,
Unidad Primaria de Muestreo de Diseño,7,C,upm_dis,,0000001...0006374,,,
Factor de expansión,5,C,factor,,76...21152,,,
