nombre_campo,longitud,tipo,nemónico,catálogo,rango_claves,,,,
Número de folio,7,C,folio,,0100019...3260794,,,,
Número de vivienda seleccionada,2,C,viv_sel,,01...37,,,,
Pregunta P1.1 ¿De qué material es la mayor parte del piso de esta vivienda?,1,C,p1_1,p1_1,1...3,,,,
"Pregunta P1.2 ¿Cuántos cuartos se usan para dormir, sin contar pasillos?",2,C,p1_2,,01...20,,,,
Pregunta P1.3 ¿Esta vivienda tiene...?,1,C,p1_3,p1_3,1...3,,,,
Pregunta P1.4 ¿Esta vivienda tiene drenaje o desagüe conectado a...?,1,C,p1_4,p1_4,1...5,,,,
Pregunta P1.5 ¿Esta vivienda tiene...?,1,C,p1_5,p1_5,1...3,,,,
Pregunta P1.6 ¿Hay luz eléctrica en esta vivienda?,1,C,p1_6,p1_6,"1,2",,,,
Pregunta P1.7.1 ¿En esta vivienda tienen refrigerador?,1,C,p1_7_1,p1_7_1,"1,2",,,,
Pregunta P1.7.2 ¿En esta vivienda tienen lavadora?,1,C,p1_7_2,p1_7_2,"1,2",,,,
Pregunta P1.7.3 ¿En esta vivienda tienen automóvil o camioneta?,1,C,p1_7_3,p1_7_3,"1,2",,,,
"Pregunta P1.7.4 ¿En esta vivienda tienen pantalla plana (televisor digital, LCD o LED)?",1,C,p1_7_4,p1_7_4,"1,2",,,,
"Pregunta P1.7.5 ¿En esta vivienda tienen computadora, laptop o tablet?",1,C,p1_7_5,p1_7_5,"1,2",,,,
Pregunta P1.7.6 ¿En esta vivienda tienen Internet?,1,C,p1_7_6,p1_7_6,"1,2",,,,
"Pregunta P1.7.7 ¿En esta vivienda tienen servicio de películas, música o videos de paga como Netflix, Claro video, Blim, etcétera?",1,C,p1_7_7,p1_7_7,"1,2",,,,
"Pregunta P2.1 ¿Cuántas personas viven normalmente en esta vivienda, contando a niñas y niños chiquitos, personas mayores o con discapacidad? Incluya también a los trabajadores domésticos y huéspedes que duermen aquí.",2,C,p2_1,,01...26,,,,
Pregunta P2.2 ¿Todas las personas que viven en esta vivienda comparten un mismo gasto para comer?,1,C,p2_2,p2_2,"1,2",,,,
"Pregunta P2.3 Entonces, ¿cuántos hogares o grupos de personas tienen gasto separado para comer, contando el de usted?",2,C,p2_3,,01...05,,,,
Estrato de diseño,3,C,est_dis,,001...513,,,,
Unidad Primaria de Muestreo de Diseño,7,C,upm_dis,,0000001...0006374,,,,
Factor de expansión,5,C,factor,,76...21152,,,,
