"ID_VIV","ID_HOG","ID_PER","UPM","VIV_SEL","HOGAR","N_REN","RESUL_POB","FILTRO_1A","PVA_1","PM1_7_1","PM1_7_2","PM1_7_3","PM1_7_4","PM1_7_5","PM1_7_6","PM1_8","PM1_9","PM1_10","PM1_11_1","PM1_11_2","PM1_11_3","PM1_11_4","PM1_12_1","PM1_12_2","PM1_12_3","PM1_12_4","PM1_12_5","PM1_12_6","PM1_13_1","PM1_13_2","PM1_13_3","PM1_13_4","PM1_13_5","PM1_13_6","PM1_13_7","PM1_13_8","PM1_13_9","PM9_1_1","PM9_1_2","PM9_1_3","PM9_1_4","PM9_1_5","PM9_1_6","PM9_1_7","PM9_1_8","PM9_2","PM9_3","PM9_4_1","PM9_5_1_1","PM9_5_1_2","PM9_5_1_3","PM9_5_1_4","PM9_5_1_5","PM9_5_1_6","PM9_5_1_7","PM9_5_1_8","PM9_4_2","PM9_5_2_1","PM9_5_2_2","PM9_5_2_3","PM9_5_2_4","PM9_5_2_5","PM9_5_2_6","PM9_5_2_7","PM9_5_2_8","PM9_4_3","PM9_5_3_1","PM9_5_3_2","PM9_5_3_3","PM9_5_3_4","PM9_5_3_5","PM9_5_3_6","PM9_5_3_7","PM9_5_3_8","PM9_4_4","PM9_5_4_1","PM9_5_4_2","PM9_5_4_3","PM9_5_4_4","PM9_5_4_5","PM9_5_4_6","PM9_5_4_7","PM9_5_4_8","PM9_4_5","PM9_5_5_1","PM9_5_5_2","PM9_5_5_3","PM9_5_5_4","PM9_5_5_5","PM9_5_5_6","PM9_5_5_7","PM9_5_5_8","PM9_4_6","PM9_5_6_1","PM9_5_6_2","PM9_5_6_3","PM9_5_6_4","PM9_5_6_5","PM9_5_6_6","PM9_5_6_7","PM9_5_6_8","PM9_4_7","PM9_5_7_1","PM9_5_7_2","PM9_5_7_3","PM9_5_7_4","PM9_5_7_5","PM9_5_7_6","PM9_5_7_7","PM9_5_7_8","PM9_4_8","PM9_5_8_1","PM9_5_8_2","PM9_5_8_3","PM9_5_8_4","PM9_5_8_5","PM9_5_8_6","PM9_5_8_7","PM9_5_8_8","PM9_6_01","PM9_6_02","PM9_6_03","PM9_6_04","PM9_6_05","PM9_6_06","PM9_6_07","PM9_6_08","PM9_6_09","PM9_6_10","PM9_6_11","PM9_6_12","PM9_6_13","PM9_6_14","PM9_6_15","PM9_6_16","PM9_7_1","PM9_7_2","PM9_7_3","PM9_7_4","PM9_7_5","PM9_7_6","PM9_7_7","PM9_7_8","PM9_7_9","SEXO","EDAD","P4_1_01","ENT","TLOC","DOMINIO","ESTRATO","EST_DIS","UPM_DIS","FAC_AFR"
"0100090.05
","0100090.05.1
","0100090.05.1.01
","0100090
","05
","1
","01
","A
","1
","1
","2
","1
","2
","2
","2
","2
","2
","2
","4
","2
","2
","2
","1
","3
","3
","3
","3
","1
","1
","2
","2
","2
","2
","2
","2
","2
","1
","2
","2
","2
","2
","2
","2
","2
","2
","2
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","31
","1
","01
","1
","U
","3
","005
","00020
","321
"
"0100128.01
","0100128.01.1
","0100128.01.1.01
","0100128
","01
","1
","01
","A
","1
","1
","2
","2
","2
","1
","2
","2
","4
","5
","1
","2
","2
","2
","9
","2
","4
","2
","2
","2
","2
","2
","2
","2
","1
","2
","2
","2
","2
","2
","1
","2
","2
","2
","3
","3
","3
","1
","6
","3
","2
","
","
","
","
","
","
","
","
","1
","
","1
","
","
","
","2
","1
","2
","1
","
","1
","
","
","
","2
","1
","2
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","1
","
","9
","
","
","
","9
","9
","2
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","1
","2
","2
","1
","2
","2
","2
","1
","2
","2
","1
","2
","1
","2
","1
","2
","3
","2
","1
","2
","2
","1
","2
","1
","2
","2
","35
","1
","01
","1
","U
","2
","004
","00030
","355
"
"0100187.05
","0100187.05.1
","0100187.05.1.01
","0100187
","05
","1
","01
","A
","1
","1
","2
","2
","2
","2
","1
","2
","1
","6
","5
","2
","2
","2
","1
","1
","1
","1
","1
","1
","1
","2
","2
","2
","2
","2
","2
","2
","1
","2
","2
","2
","2
","2
","
","1
","2
","2
","6
","5
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","1
","55
","1
","01
","1
","U
","3
","005
","00042
","340
"
"0100187.05
","0100187.05.1
","0100187.05.1.02
","0100187
","05
","1
","02
","A
","1
","1
","2
","1
","2
","2
","2
","2
","2
","4
","6
","2
","2
","2
","2
","1
","1
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","1
","2
","2
","2
","3
","
","2
","2
","2
","
","
","2
","
","
","
","
","
","
","
","
","1
","
","2
","
","
","
","2
","2
","1
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","8
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","1
","2
","1
","2
","2
","2
","2
","1
","2
","2
","2
","2
","1
","2
","2
","2
","2
","2
","2
","2
","2
","2
","3
","2
","2
","50
","1
","01
","1
","U
","3
","005
","00042
","340
"
"0100187.05
","0100187.05.1
","0100187.05.1.03
","0100187
","05
","1
","03
","A
","1
","1
","2
","2
","2
","2
","1
","2
","2
","4
","1
","2
","1
","2
","1
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","1
","2
","2
","2
","2
","2
","2
","1
","1
","2
","2
","3
","6
","6
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","1
","
","2
","
","
","
","2
","2
","1
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","8
","2
","2
","2
","1
","2
","2
","2
","2
","3
","2
","2
","21
","1
","01
","1
","U
","3
","005
","00042
","340
"
"0100187.05
","0100187.05.1
","0100187.05.1.04
","0100187
","05
","1
","04
","A
","1
","1
","2
","2
","2
","2
","1
","2
","3
","4
","4
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","1
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","1
","
","2
","
","
","
","2
","
","1
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","3
","2
","1
","17
","1
","01
","1
","U
","3
","005
","00042
","340
"
"0100187.05
","0100187.05.1
","0100187.05.1.05
","0100187
","05
","1
","05
","A
","1
","1
","2
","2
","2
","2
","1
","2
","2
","3
","2
","9
","9
","9
","9
","9
","9
","9
","2
","9
","9
","2
","1
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","8
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","8
","8
","2
","2
","2
","2
","2
","2
","2
","2
","3
","2
","2
","14
","1
","01
","1
","U
","3
","005
","00042
","340
"
"0100243.01
","0100243.01.1
","0100243.01.1.01
","0100243
","01
","1
","01
","A
","1
","1
","2
","2
","2
","2
","1
","2
","3
","8
","6
","2
","2
","2
","1
","4
","4
","4
","4
","4
","4
","1
","2
","2
","2
","2
","1
","2
","2
","2
","2
","2
","2
","2
","
","3
","3
","3
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","3
","2
","2
","2
","2
","2
","3
","3
","2
","1
","80
","1
","01
","1
","U
","3
","005
","00053
","286
"
"0100479.03
","0100479.03.1
","0100479.03.1.01
","0100479
","03
","1
","01
","A
","1
","1
","2
","2
","2
","2
","1
","2
","2
","4
","1
","2
","2
","2
","1
","2
","2
","3
","2
","3
","2
","2
","2
","2
","2
","2
","1
","2
","2
","2
","2
","1
","2
","2
","
","2
","2
","2
","6
","3
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","1
","48
","1
","01
","1
","U
","4
","006
","00104
","344
"
"0100708.04
","0100708.04.1
","0100708.04.1.01
","0100708
","04
","1
","01
","A
","1
","1
","1
","2
","2
","2
","2
","2
","3
","5
","6
","2
","1
","2
","1
","3
","1
","9
","3
","3
","3
","2
","2
","2
","2
","1
","2
","2
","2
","2
","3
","3
","2
","3
","2
","2
","2
","2
","
","
","2
","
","
","
","
","
","
","
","
","1
","
","1
","
","1
","
","2
","
","2
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","1
","
","1
","
","1
","
","2
","
","2
","1
","
","1
","
","1
","
","2
","
","2
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","1
","1
","2
","2
","2
","1
","2
","2
","2
","2
","1
","2
","2
","2
","2
","2
","3
","2
","3
","1
","1
","2
","2
","2
","2
","1
","24
","1
","01
","1
","U
","2
","004
","00151
","212
"
