"NOMBRE_CAMPO","NEMONICO","TIPO","LONGITUD","RANGO_CLAVES"
"Identificador de vivienda seleccionada","ID_VIV","Alfanumérico",10,"0100001.01 - 3299999.99
"
"Identificador del hogar seleccionado","ID_HOG","Alfanumérico",12,"0100001.01.1 - 3299999.99.5
"
"Identificador de persona","ID_PER","Alfanumérico",15,"0100001.01.1.01 - 3299999.99.5.30
"
"Unidad Primaria de Muestreo","UPM","Alfanumérico",7,"0100001 - 3299999
"
"Número de Vivienda Seleccionada","VIV_SEL","Alfanumérico",2,"01 - 99
"
"Número de Hogar","HOGAR","Alfanumérico",1,"1 - 5
"
"Número de renglón del informante","N_REN","Alfanumérico",2,"01 - 30
"
"Resultado de entrevista - COE","RESUL_POB","Alfanumérico",1,"A
"
"Filtro OE1. Personas que no les aplicó ningún módulo","FILTRO_OE1","Alfanumérico",1,"1
"
"Filtro OE1. Personas que no les aplicó ningún módulo","FILTRO_OE1","Alfanumérico",1,"2
"
"Apertura a la diversidad en la vivienda. Adulta mayor","PO1_1_01","Alfanumérico",1,"1
"
"Apertura a la diversidad en la vivienda. Adulta mayor","PO1_1_01","Alfanumérico",1,"2
"
"Apertura a la diversidad en la vivienda. Adulta mayor","PO1_1_01","Alfanumérico",1,"9
"
"Apertura a la diversidad en la vivienda. Joven","PO1_1_02","Alfanumérico",1,"1
"
"Apertura a la diversidad en la vivienda. Joven","PO1_1_02","Alfanumérico",1,"2
"
"Apertura a la diversidad en la vivienda. Joven","PO1_1_02","Alfanumérico",1,"9
"
"Apertura a la diversidad en la vivienda. Con discapacidad","PO1_1_03","Alfanumérico",1,"1
"
"Apertura a la diversidad en la vivienda. Con discapacidad","PO1_1_03","Alfanumérico",1,"2
"
"Apertura a la diversidad en la vivienda. Con discapacidad","PO1_1_03","Alfanumérico",1,"9
"
"Apertura a la diversidad en la vivienda. Indígena","PO1_1_04","Alfanumérico",1,"1
"
"Apertura a la diversidad en la vivienda. Indígena","PO1_1_04","Alfanumérico",1,"2
"
"Apertura a la diversidad en la vivienda. Indígena","PO1_1_04","Alfanumérico",1,"9
"
"Apertura a la diversidad en la vivienda. Extranjera","PO1_1_05","Alfanumérico",1,"1
"
"Apertura a la diversidad en la vivienda. Extranjera","PO1_1_05","Alfanumérico",1,"2
"
"Apertura a la diversidad en la vivienda. Extranjera","PO1_1_05","Alfanumérico",1,"9
"
"Apertura a la diversidad en la vivienda. De una religión distinta a la suya","PO1_1_06","Alfanumérico",1,"1
"
"Apertura a la diversidad en la vivienda. De una religión distinta a la suya","PO1_1_06","Alfanumérico",1,"2
"
"Apertura a la diversidad en la vivienda. De una religión distinta a la suya","PO1_1_06","Alfanumérico",1,"9
"
"Apertura a la diversidad en la vivienda. Afrodescendiente","PO1_1_07","Alfanumérico",1,"1
"
"Apertura a la diversidad en la vivienda. Afrodescendiente","PO1_1_07","Alfanumérico",1,"2
"
