"ID_VIV","ID_HOG","ID_PER","UPM","VIV_SEL","HOGAR","N_REN","RESUL_POB","FILTRO_3","FILTRO_PM1","PVM_1","PVM_1B","PVM_2","FILTRO_5","PM3_1","PM3_2","PM3_3_1","PM3_3_2","PM3_3_3","PM3_3_4","PM3_4_1","PM3_4_2","PM3_4_3","PM3_4_4","PM3_4_5","PM3_4_6","FILTRO_PD1","PM3_5","PM3_6_1","PM3_6_2","PM3_6_3","PM3_6_4","PM3_6_5","PM3_6_6","PM3_6_7","PM9_1_1","PM9_1_2","PM9_1_3","PM9_1_4","PM9_1_5","PM9_1_6","PM9_1_7","PM9_1_8","PM9_2","PM9_3","PM9_4_1","PM9_5_1_1","PM9_5_1_2","PM9_5_1_3","PM9_5_1_4","PM9_5_1_5","PM9_5_1_6","PM9_5_1_7","PM9_5_1_8","PM9_4_2","PM9_5_2_1","PM9_5_2_2","PM9_5_2_3","PM9_5_2_4","PM9_5_2_5","PM9_5_2_6","PM9_5_2_7","PM9_5_2_8","PM9_4_3","PM9_5_3_1","PM9_5_3_2","PM9_5_3_3","PM9_5_3_4","PM9_5_3_5","PM9_5_3_6","PM9_5_3_7","PM9_5_3_8","PM9_4_4","PM9_5_4_1","PM9_5_4_2","PM9_5_4_3","PM9_5_4_4","PM9_5_4_5","PM9_5_4_6","PM9_5_4_7","PM9_5_4_8","PM9_4_5","PM9_5_5_1","PM9_5_5_2","PM9_5_5_3","PM9_5_5_4","PM9_5_5_5","PM9_5_5_6","PM9_5_5_7","PM9_5_5_8","PM9_4_6","PM9_5_6_1","PM9_5_6_2","PM9_5_6_3","PM9_5_6_4","PM9_5_6_5","PM9_5_6_6","PM9_5_6_7","PM9_5_6_8","PM9_4_7","PM9_5_7_1","PM9_5_7_2","PM9_5_7_3","PM9_5_7_4","PM9_5_7_5","PM9_5_7_6","PM9_5_7_7","PM9_5_7_8","PM9_4_8","PM9_5_8_1","PM9_5_8_2","PM9_5_8_3","PM9_5_8_4","PM9_5_8_5","PM9_5_8_6","PM9_5_8_7","PM9_5_8_8","PM9_6_01","PM9_6_02","PM9_6_03","PM9_6_04","PM9_6_05","PM9_6_06","PM9_6_07","PM9_6_08","PM9_6_09","PM9_6_10","PM9_6_11","PM9_6_12","PM9_6_13","PM9_6_14","PM9_6_15","PM9_6_16","PM9_7_1","PM9_7_2","PM9_7_3","PM9_7_4","PM9_7_5","PM9_7_6","PM9_7_7","PM9_7_8","PM9_7_9","SEXO","EDAD","P3_8","P4_1_03","ENT","TLOC","DOMINIO","ESTRATO","EST_DIS","UPM_DIS","FAC_MIG"
"0100046.01
","0100046.01.1
","0100046.01.1.01
","0100046
","01
","1
","01
","A
","1
","2
","
","
","1
","2
","1
","1
","2
","2
","2
","1
","2
","2
","2
","2
","2
","2
","1
","2
","
","
","
","
","
","
","
","2
","2
","2
","2
","2
","1
","2
","2
","6
","6
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","1
","30
","3
","1
","01
","1
","U
","3
","005
","00011
","278
"
"0100046.01
","0100046.01.1
","0100046.01.1.02
","0100046
","01
","1
","02
","A
","1
","2
","
","
","1
","2
","1
","1
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","1
","2
","
","
","
","
","
","
","
","2
","2
","2
","2
","2
","2
","2
","2
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","28
","3
","1
","01
","1
","U
","3
","005
","00011
","278
"
"0100049.04
","0100049.04.1
","0100049.04.1.01
","0100049
","04
","1
","01
","A
","1
","2
","
","
","1
","2
","2
","1
","1
","2
","1
","2
","4
","4
","4
","4
","4
","4
","1
","2
","
","
","
","
","
","
","
","2
","2
","2
","2
","
","2
","2
","2
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","1
","43
","3
","1
","01
","1
","U
","3
","005
","00011
","286
"
"0100058.04
","0100058.04.1
","0100058.04.1.01
","0100058
","04
","1
","01
","A
","1
","2
","
","
","1
","2
","3
","1
","1
","2
","2
","9
","4
","3
","3
","3
","3
","3
","1
","2
","
","
","
","
","
","
","
","2
","2
","2
","2
","
","2
","2
","2
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","1
","40
","3
","1
","01
","1
","U
","3
","005
","00013
","351
"
"0100058.04
","0100058.04.1
","0100058.04.1.02
","0100058
","04
","1
","02
","A
","1
","2
","
","
","1
","2
","2
","3
","1
","1
","2
","1
","4
","4
","2
","2
","1
","1
","1
","2
","
","
","
","
","
","
","
","2
","2
","2
","2
","
","2
","1
","2
","6
","4
","2
","
","
","
","
","
","
","
","
","1
","
","
","
","2
","2
","2
","1
","9
","1
","
","
","
","1
","2
","2
","2
","9
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","1
","
","
","
","1
","2
","2
","2
","9
","2
","2
","1
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","40
","3
","1
","01
","1
","U
","3
","005
","00013
","351
"
"0100059.05
","0100059.05.1
","0100059.05.1.01
","0100059
","05
","1
","01
","A
","1
","2
","
","
","1
","2
","2
","1
","1
","2
","1
","2
","4
","4
","2
","1
","4
","1
","1
","2
","
","
","
","
","
","
","
","2
","2
","2
","2
","
","2
","2
","2
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","1
","63
","3
","1
","01
","1
","U
","3
","005
","00013
","390
"
"0100069.01
","0100069.01.1
","0100069.01.1.01
","0100069
","01
","1
","01
","A
","1
","2
","
","
","1
","2
","2
","1
","2
","2
","2
","2
","4
","4
","2
","2
","1
","1
","1
","1
","2
","2
","2
","2
","2
","1
","2
","2
","2
","2
","1
","
","1
","2
","1
","6
","3
","1
","
","
","
","9
","
","2
","1
","9
","1
","
","
","
","2
","
","2
","1
","2
","1
","
","
","
","2
","
","2
","1
","2
","1
","
","
","
","2
","
","2
","1
","2
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","1
","
","
","
","2
","
","2
","1
","2
","1
","
","
","
","2
","
","2
","1
","2
","1
","2
","1
","1
","1
","1
","1
","1
","2
","1
","2
","2
","1
","1
","1
","1
","1
","2
","2
","2
","2
","2
","2
","2
","2
","2
","39
","3
","1
","01
","1
","U
","2
","004
","00016
","325
"
"0100079.03
","0100079.03.1
","0100079.03.1.01
","0100079
","03
","1
","01
","A
","1
","2
","
","
","1
","2
","1
","1
","2
","2
","2
","2
","3
","3
","3
","3
","3
","2
","1
","2
","
","
","
","
","
","
","
","2
","2
","2
","2
","2
","2
","2
","2
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","1
","31
","3
","1
","01
","1
","U
","3
","005
","00018
","287
"
"0100079.03
","0100079.03.1
","0100079.03.1.02
","0100079
","03
","1
","02
","A
","1
","2
","
","
","1
","2
","2
","1
","2
","2
","2
","2
","3
","3
","3
","3
","2
","2
","1
","2
","
","
","
","
","
","
","
","2
","2
","2
","2
","2
","2
","2
","2
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","27
","3
","1
","01
","1
","U
","3
","005
","00018
","287
"
"0100090.05
","0100090.05.1
","0100090.05.1.01
","0100090
","05
","1
","01
","A
","1
","1
","1
","2
","
","2
","2
","1
","2
","2
","2
","2
","1
","2
","1
","1
","1
","1
","1
","2
","
","
","
","
","
","
","
","2
","2
","2
","2
","2
","2
","2
","2
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","
","
","
","
","
","
","
","
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","31
","5
","1
","01
","1
","U
","3
","005
","00020
","344
"
