"PM8_7","descrip"
"01
","Tiene que dedicarse a los quehaceres del hogar"
"02
","Falta de experiencia o preparación"
"03
","Está buscando, no hay empleos o no cumplen con sus expectativas"
"04
","Tiene que cuidar a alguien o no la deja un familiar"
"05
","No la emplean por ser mujer o tener hijos"
"06
","No la aceptan por la edad"
"07
","Por problemas de salud o discapacidad"
"08
","No lo necesita o no quiere"
"09
","Debido a la pandemia se quedó sin empleo"
"10
","Otro"
"11
","Sí está trabajando"
"99
","No especificado"
