"ID_VIV","ID_HOG","ID_PER","UPM","VIV_SEL","HOGAR","N_REN","RESUL_POB","PM6_1","PM6_2_1","PM6_2_2","PM6_2_3","PM6_3_1","PM6_3_2","PM6_3_3","PM6_3_4","PM6_3_5","PM6_3_6","PM6_4_1","PM6_4_2","PM6_4_3","PM6_4_4","PM6_4_5","PM6_5_1","PM6_5_2","PM6_5_3","PM6_5_4","PM6_5_5","PM6_6_01","PM6_6_02","PM6_6_03","PM6_6_04","PM6_6_05","PM6_6_06","PM6_6_07","PM6_6_08","PM6_6_09","PM6_6_10","PM6_7_1","PM6_7_2","PM6_7_3","PM6_7_4","PM6_7_5","PM6_7_6","PM6_8_1","PM6_8_2","PM6_8_3","PM6_8_4","PM6_8_5","PM6_8_6","PM6_8_7","PM6_8_8","PM6_8_9","PM6_9_1","PM6_9_2","PM6_9_3","PM6_9_4","PM6_9_5","PM6_9_6","PM6_9_7","SEXO","EDAD","P4_1_06","ENT","TLOC","DOMINIO","ESTRATO","EST_DIS","UPM_DIS","FAC_NIN"
"0100014.02
","0100014.02.1
","0100014.02.1.03
","0100014
","02
","1
","03
","A
","1
","1
","1
","2
","1
","1
","1
","1
","1
","1
","2
","2
","2
","2
","2
","3
","3
","3
","3
","3
","1
","1
","1
","1
","1
","1
","1
","1
","1
","4
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","1
","2
","2
","1
","2
","2
","2
","2
","2
","2
","2
","2
","2
","11
","1
","01
","1
","U
","2
","004
","00004
","271
"
"0100023.01
","0100023.01.1
","0100023.01.1.03
","0100023
","01
","1
","03
","A
","1
","1
","2
","2
","1
","1
","1
","1
","1
","1
","2
","2
","2
","1
","2
","3
","3
","3
","3
","3
","1
","1
","1
","1
","1
","1
","1
","1
","4
","4
","2
","2
","1
","2
","2
","2
","1
","2
","2
","2
","2
","2
","2
","2
","2
","1
","2
","2
","2
","1
","2
","1
","2
","10
","1
","01
","1
","U
","3
","005
","00006
","291
"
"0100028.01
","0100028.01.1
","0100028.01.1.07
","0100028
","01
","1
","07
","A
","1
","1
","1
","1
","1
","1
","1
","1
","1
","1
","2
","1
","2
","2
","2
","3
","3
","3
","3
","3
","1
","1
","1
","1
","1
","1
","1
","1
","1
","1
","2
","1
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","11
","1
","01
","1
","U
","3
","005
","00007
","298
"
"0100052.02
","0100052.02.1
","0100052.02.1.05
","0100052
","02
","1
","05
","A
","1
","1
","1
","1
","1
","1
","1
","1
","1
","1
","2
","2
","2
","2
","2
","3
","3
","3
","3
","3
","1
","1
","1
","1
","1
","1
","1
","1
","1
","1
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","1
","2
","2
","1
","1
","2
","2
","2
","2
","2
","2
","11
","1
","01
","1
","U
","3
","005
","00012
","263
"
"0100063.05
","0100063.05.1
","0100063.05.1.04
","0100063
","05
","1
","04
","A
","1
","1
","1
","2
","1
","1
","1
","1
","1
","1
","1
","2
","2
","2
","2
","3
","3
","3
","3
","3
","1
","1
","1
","1
","1
","1
","1
","1
","1
","9
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","1
","09
","1
","01
","1
","U
","3
","005
","00014
","272
"
"0100068.05
","0100068.05.1
","0100068.05.1.04
","0100068
","05
","1
","04
","A
","1
","1
","1
","1
","1
","1
","1
","1
","1
","1
","2
","2
","2
","2
","2
","3
","3
","3
","3
","3
","1
","1
","1
","1
","1
","1
","1
","1
","1
","1
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","10
","1
","01
","1
","U
","3
","005
","00015
","176
"
"0100076.05
","0100076.05.1
","0100076.05.1.02
","0100076
","05
","1
","02
","A
","1
","1
","1
","1
","1
","1
","1
","1
","1
","1
","2
","2
","2
","2
","2
","3
","3
","3
","3
","3
","1
","1
","1
","1
","1
","1
","1
","1
","1
","4
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","1
","2
","1
","09
","1
","01
","1
","U
","3
","005
","00017
","226
"
"0100086.05
","0100086.05.1
","0100086.05.1.04
","0100086
","05
","1
","04
","A
","9
","1
","1
","1
","1
","1
","1
","1
","1
","1
","2
","2
","2
","2
","2
","3
","3
","3
","3
","3
","1
","1
","1
","1
","1
","1
","1
","1
","1
","9
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","1
","2
","2
","2
","2
","1
","11
","1
","01
","1
","U
","3
","005
","00019
","345
"
"0100115.02
","0100115.02.1
","0100115.02.1.05
","0100115
","02
","1
","05
","A
","9
","1
","2
","1
","1
","1
","1
","1
","1
","1
","2
","2
","2
","2
","2
","3
","3
","3
","3
","3
","1
","1
","1
","1
","1
","1
","1
","1
","1
","4
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","1
","2
","2
","2
","2
","2
","2
","2
","2
","2
","11
","1
","01
","1
","U
","4
","006
","00027
","377
"
"0100118.01
","0100118.01.1
","0100118.01.1.04
","0100118
","01
","1
","04
","A
","2
","1
","1
","3
","1
","1
","1
","1
","1
","1
","2
","2
","1
","2
","2
","3
","3
","3
","3
","3
","1
","1
","1
","1
","1
","1
","1
","1
","1
","4
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","2
","1
","2
","2
","2
","1
","2
","2
","2
","1
","2
","2
","09
","1
","01
","1
","U
","2
","004
","00028
","390
"
"0100128.01
","0100128.01.1
","0100128.01.1.03
","0100128
","01
","1
","03
","A
","1
","1
","2
","3
","1
","1
","1
","1
","1
","1
","1
","2
","2
","2
","2
","1
","3
","3
","3
","3
","1
","1
","1
","1
","1
","1
","1
","1
","1
","4
","2
","2
","2
","2
","2
","2
","2
","1
","2
","2
","1
","2
","2
","2
","2
","1
","2
","2
","2
","2
","2
","2
","1
","10
","1
","01
","1
","U
","2
","004
","00030
","359
"
