"NOMBRE_CAMPO","NEMONICO","TIPO","LONGITUD","RANGO_CLAVES"
"Identificador de vivienda seleccionada","ID_VIV","Alfanumérico",10,"0100001.01 - 3299999.99
"
"Identificador del hogar seleccionado","ID_HOG","Alfanumérico",12,"0100001.01.1 - 3299999.99.5
"
"Identificador de persona","ID_PER","Alfanumérico",15,"0100001.01.1.01 - 3299999.99.5.30
"
"Unidad Primaria de Muestreo","UPM","Alfanumérico",7,"0100001 - 3299999
"
"Número de Vivienda Seleccionada","VIV_SEL","Alfanumérico",2,"01 - 99
"
"Número de Hogar","HOGAR","Alfanumérico",1,"1 - 5
"
"Número de renglón del informante","N_REN","Alfanumérico",2,"01 - 30
"
"Resultado de entrevista - Niña o niño","RESUL_POB","Alfanumérico",1,"A
"
"Resultado de entrevista - Niña o niño","RESUL_POB","Alfanumérico",1,"B
"
"Respeto a derechos de niñas y niños","PM6_1","Alfanumérico",1,"1
"
"Respeto a derechos de niñas y niños","PM6_1","Alfanumérico",1,"2
"
"Respeto a derechos de niñas y niños","PM6_1","Alfanumérico",1,"9
"
"Valoración de la participación. En tu casa","PM6_2_1","Alfanumérico",1,"1
"
"Valoración de la participación. En tu casa","PM6_2_1","Alfanumérico",1,"2
"
"Valoración de la participación. En tu casa","PM6_2_1","Alfanumérico",1,"3
"
"Valoración de la participación. En tu casa","PM6_2_1","Alfanumérico",1,"4
"
"Valoración de la participación. En tu casa","PM6_2_1","Alfanumérico",1,"8
"
"Valoración de la participación. En tu escuela","PM6_2_2","Alfanumérico",1,"1
"
"Valoración de la participación. En tu escuela","PM6_2_2","Alfanumérico",1,"2
"
"Valoración de la participación. En tu escuela","PM6_2_2","Alfanumérico",1,"3
"
"Valoración de la participación. En tu escuela","PM6_2_2","Alfanumérico",1,"4
"
"Valoración de la participación. En tu escuela","PM6_2_2","Alfanumérico",1,"8
"
"Valoración de la participación. En tu colonia (localidad)","PM6_2_3","Alfanumérico",1,"1
"
"Valoración de la participación. En tu colonia (localidad)","PM6_2_3","Alfanumérico",1,"2
"
"Valoración de la participación. En tu colonia (localidad)","PM6_2_3","Alfanumérico",1,"3
"
"Valoración de la participación. En tu colonia (localidad)","PM6_2_3","Alfanumérico",1,"4
"
"Valoración de la participación. En tu colonia (localidad)","PM6_2_3","Alfanumérico",1,"8
"
"Apertura a la diversidad. De otro país","PM6_3_1","Alfanumérico",1,"1
"
"Apertura a la diversidad. De otro país","PM6_3_1","Alfanumérico",1,"2
"
"Apertura a la diversidad. De otro país","PM6_3_1","Alfanumérico",1,"9
"
"Apertura a la diversidad. Negras(os)","PM6_3_2","Alfanumérico",1,"1
"
"Apertura a la diversidad. Negras(os)","PM6_3_2","Alfanumérico",1,"2
"
