"NOMBRE_CAMPO","NEMONICO","TIPO","LONGITUD","RANGO_CLAVES"
"Identificador de vivienda seleccionada","ID_VIV","Alfanumérico",10,"0100001.01 - 3299999.99
"
"Identificador del hogar seleccionado","ID_HOG","Alfanumérico",12,"0100001.01.1 - 3299999.99.5
"
"Identificador de persona","ID_PER","Alfanumérico",15,"0100001.01.1.01 - 3299999.99.5.30
"
"Unidad Primaria de Muestreo","UPM","Alfanumérico",7,"0100001 - 3299999
"
"Número de Vivienda Seleccionada","VIV_SEL","Alfanumérico",2,"01 - 99
"
"Número de Hogar","HOGAR","Alfanumérico",1,"1 - 5
"
"Número de renglón del informante","N_REN","Alfanumérico",2,"01 - 30
"
"Resultado de entrevista - Diversidad religiosa","RESUL_POB","Alfanumérico",1,"A
"
"Resultado de entrevista - Diversidad religiosa","RESUL_POB","Alfanumérico",1,"B
"
"Condición de diversidad religiosa","FILTRO_4","Alfanumérico",1,"1
"
"Condición de diversidad religiosa","FILTRO_4","Alfanumérico",1,"2
"
"Respeto a derechos de personas de la diversidad religiosa","PM4_1","Alfanumérico",1,"1
"
"Respeto a derechos de personas de la diversidad religiosa","PM4_1","Alfanumérico",1,"2
"
"Respeto a derechos de personas de la diversidad religiosa","PM4_1","Alfanumérico",1,"3
"
"Respeto a derechos de personas de la diversidad religiosa","PM4_1","Alfanumérico",1,"4
"
"Respeto a derechos de personas de la diversidad religiosa","PM4_1","Alfanumérico",1,"9
"
"Problemáticas de personas de la diversidad religiosa","PM4_2","Alfanumérico",1,"1
"
"Problemáticas de personas de la diversidad religiosa","PM4_2","Alfanumérico",1,"2
"
"Problemáticas de personas de la diversidad religiosa","PM4_2","Alfanumérico",1,"3
"
"Problemáticas de personas de la diversidad religiosa","PM4_2","Alfanumérico",1,"4
"
"Problemáticas de personas de la diversidad religiosa","PM4_2","Alfanumérico",1,"5
"
"Problemáticas de personas de la diversidad religiosa","PM4_2","Alfanumérico",1,"6
"
"Prejuicios. Las personas de su religión son más confiables que el resto de la población","PM4_3_1","Alfanumérico",1,"1
"
"Prejuicios. Las personas de su religión son más confiables que el resto de la población","PM4_3_1","Alfanumérico",1,"2
"
"Prejuicios. Las personas de su religión son más confiables que el resto de la población","PM4_3_1","Alfanumérico",1,"9
"
"Prejuicios. Las personas de su religión son rechazadas por la mayoría de la gente","PM4_3_2","Alfanumérico",1,"1
"
"Prejuicios. Las personas de su religión son rechazadas por la mayoría de la gente","PM4_3_2","Alfanumérico",1,"2
"
"Prejuicios. Las personas de su religión son rechazadas por la mayoría de la gente","PM4_3_2","Alfanumérico",1,"9
"
"Prejuicios. Las personas de su religión son consideradas fanáticas o tercas por la mayoría de la gente","PM4_3_3","Alfanumérico",1,"1
"
"Prejuicios. Las personas de su religión son consideradas fanáticas o tercas por la mayoría de la gente","PM4_3_3","Alfanumérico",1,"2
"
