"NOMBRE_CAMPO","NEMONICO","TIPO","LONGITUD","RANGO_CLAVES"
"Identificador de vivienda seleccionada","ID_VIV","Alfanumérico",10,"0100001.01 - 3299999.99
"
"Identificador del hogar seleccionado","ID_HOG","Alfanumérico",12,"0100001.01.1 - 3299999.99.5
"
"Identificador de persona","ID_PER","Alfanumérico",15,"0100001.01.1.01 - 3299999.99.5.30
"
"Unidad Primaria de Muestreo","UPM","Alfanumérico",7,"0100001 - 3299999
"
"Número de Vivienda Seleccionada","VIV_SEL","Alfanumérico",2,"01 - 99
"
"Número de Hogar","HOGAR","Alfanumérico",1,"1 - 5
"
"Número de renglón del informante","N_REN","Alfanumérico",2,"01 - 30
"
"Resultado de la visita al hogar","RESUL_H","Alfanumérico",1,"1
"
"Resultado de la visita al hogar","RESUL_H","Alfanumérico",1,"2
"
"Resultado de la visita al hogar","RESUL_H","Alfanumérico",1,"3
"
"Lista de personas","NOMBRE","Alfanumérico",160,"A - Z, 0 - 9
"
"Parentesco","PAREN","Alfanumérico",1,"1
"
"Parentesco","PAREN","Alfanumérico",1,"2
"
"Parentesco","PAREN","Alfanumérico",1,"3
"
"Parentesco","PAREN","Alfanumérico",1,"4
"
"Parentesco","PAREN","Alfanumérico",1,"5
"
"Parentesco","PAREN","Alfanumérico",1,"6
"
"Sexo","SEXO","Alfanumérico",1,"1
"
"Sexo","SEXO","Alfanumérico",1,"2
"
"Edad","EDAD","Alfanumérico",2,"00
"
"Edad","EDAD","Alfanumérico",2,"01 - 95
"
"Edad","EDAD","Alfanumérico",2,"96
"
"Edad","EDAD","Alfanumérico",2,"99
"
"Discapacidad. Dificultad para caminar, subir o bajar usando sus piernas.","P3_6_1","Alfanumérico",1,"1
"
"Discapacidad. Dificultad para caminar, subir o bajar usando sus piernas.","P3_6_1","Alfanumérico",1,"2
"
"Discapacidad. Dificultad para caminar, subir o bajar usando sus piernas.","P3_6_1","Alfanumérico",1,"3
"
"Discapacidad. Dificultad para caminar, subir o bajar usando sus piernas.","P3_6_1","Alfanumérico",1,"4
"
"Discapacidad. Dificultad para caminar, subir o bajar usando sus piernas.","P3_6_1","Alfanumérico",1,"9
"
"Discapacidad. 
Dificultad para ver aunque use lentes.","P3_6_2","Alfanumérico",1,"1
"
"Discapacidad. 
Dificultad para ver aunque use lentes.","P3_6_2","Alfanumérico",1,"2
"
"Discapacidad. 
Dificultad para ver aunque use lentes.","P3_6_2","Alfanumérico",1,"3
"
"Discapacidad. 
Dificultad para ver aunque use lentes.","P3_6_2","Alfanumérico",1,"4
"
"Discapacidad. 
Dificultad para ver aunque use lentes.","P3_6_2","Alfanumérico",1,"9
"
"Discapacidad. Dificultad para mover o usar sus brazos o manos","P3_6_3","Alfanumérico",1,"1
"
"Discapacidad. Dificultad para mover o usar sus brazos o manos","P3_6_3","Alfanumérico",1,"2
"
