"NOMBRE_CAMPO","NEMONICO","TIPO","LONGITUD","RANGO_CLAVES"
"Identificador de vivienda seleccionada ","ID_VIV","Alfanumérico",10,"0100001.01 - 3299999.99
"
"Unidad Primaria de Muestreo","UPM","Alfanumérico",7,"0100001 - 3299999
"
"Vivienda seleccionada","VIV_SEL","Alfanumérico",2,"01 - 99
"
"Resultado de vivienda","RESUL_V","Alfanumérico",2,"01
"
"Resultado de vivienda","RESUL_V","Alfanumérico",2,"02
"
"Resultado de vivienda","RESUL_V","Alfanumérico",2,"03
"
"Resultado de vivienda","RESUL_V","Alfanumérico",2,"04
"
"Pisos","P1_1","Alfanumérico",1,"1
"
"Pisos","P1_1","Alfanumérico",1,"2
"
"Pisos","P1_1","Alfanumérico",1,"3
"
"Dormitorios","P1_2","Alfanumérico",2,"01 - 20
"
"Disponibilidad de agua","P1_3","Alfanumérico",1,"1
"
"Disponibilidad de agua","P1_3","Alfanumérico",1,"2
"
"Disponibilidad de agua","P1_3","Alfanumérico",1,"3
"
"Drenaje","P1_4","Alfanumérico",1,"1
"
"Drenaje","P1_4","Alfanumérico",1,"2
"
"Drenaje","P1_4","Alfanumérico",1,"3
"
"Drenaje","P1_4","Alfanumérico",1,"4
"
"Sanitario","P1_5","Alfanumérico",1,"1
"
"Sanitario","P1_5","Alfanumérico",1,"2
"
"Sanitario","P1_5","Alfanumérico",1,"3
"
"Electricidad","P1_6","Alfanumérico",1,"1
"
"Electricidad","P1_6","Alfanumérico",1,"2
"
"Bienes y TIC's. Refrigerador","P1_7_1","Alfanumérico",1,"1
"
"Bienes y TIC's. Refrigerador","P1_7_1","Alfanumérico",1,"2
"
"Bienes y TIC's. Lavadora","P1_7_2","Alfanumérico",1,"1
"
"Bienes y TIC's. Lavadora","P1_7_2","Alfanumérico",1,"2
"
"Bienes y TIC's. Pantalla plana (televisor digital, LCD o LED)","P1_7_3","Alfanumérico",1,"1
"
"Bienes y TIC's. Pantalla plana (televisor digital, LCD o LED)","P1_7_3","Alfanumérico",1,"2
"
"Bienes y TIC's. Computadora, laptop o tablet","P1_7_4","Alfanumérico",1,"1
"
"Bienes y TIC's. Computadora, laptop o tablet","P1_7_4","Alfanumérico",1,"2
"
"Bienes y TIC's. Internet fijo","P1_7_5","Alfanumérico",1,"1
"
"Bienes y TIC's. Internet fijo","P1_7_5","Alfanumérico",1,"2
"
"Bienes y TIC's. Servicio de películas, música o videos de paga como Netflix, Claro video, Spotify, etcétera","P1_7_6","Alfanumérico",1,"1
"
"Bienes y TIC's. Servicio de películas, música o videos de paga como Netflix, Claro video, Spotify, etcétera","P1_7_6","Alfanumérico",1,"2
"
"Bienes y TIC's. Automóvil o camioneta","P1_7_7","Alfanumérico",1,"1
"
"Bienes y TIC's. Automóvil o camioneta","P1_7_7","Alfanumérico",1,"2
"
"Número de personas","P2_1","Alfanumérico",2,"01 - 22
"
"Gasto común","P2_2","Alfanumérico",1,"1
"
"Gasto común","P2_2","Alfanumérico",1,"2
"
"Número de hogares","P2_3","Alfanumérico",2,"02 - 05
"
"Entidad federativa","ENT","Alfanumérico",2,"01
"
"Entidad federativa","ENT","Alfanumérico",2,"02
"
"Entidad federativa","ENT","Alfanumérico",2,"03
"
"Entidad federativa","ENT","Alfanumérico",2,"04
"
"Entidad federativa","ENT","Alfanumérico",2,"05
"
"Entidad federativa","ENT","Alfanumérico",2,"06
"
"Entidad federativa","ENT","Alfanumérico",2,"07
"
"Entidad federativa","ENT","Alfanumérico",2,"08
"
"Entidad federativa","ENT","Alfanumérico",2,"09
"
"Entidad federativa","ENT","Alfanumérico",2,"10
"
"Entidad federativa","ENT","Alfanumérico",2,"11
"
"Entidad federativa","ENT","Alfanumérico",2,"12
"
"Entidad federativa","ENT","Alfanumérico",2,"13
"
"Entidad federativa","ENT","Alfanumérico",2,"14
"
"Entidad federativa","ENT","Alfanumérico",2,"15
"
"Entidad federativa","ENT","Alfanumérico",2,"16
"
"Entidad federativa","ENT","Alfanumérico",2,"17
"
"Entidad federativa","ENT","Alfanumérico",2,"18
"
"Entidad federativa","ENT","Alfanumérico",2,"19
"
"Entidad federativa","ENT","Alfanumérico",2,"20
"
"Entidad federativa","ENT","Alfanumérico",2,"21
"
"Entidad federativa","ENT","Alfanumérico",2,"22
"
"Entidad federativa","ENT","Alfanumérico",2,"23
"
"Entidad federativa","ENT","Alfanumérico",2,"24
"
"Entidad federativa","ENT","Alfanumérico",2,"25
"
"Entidad federativa","ENT","Alfanumérico",2,"26
"
"Entidad federativa","ENT","Alfanumérico",2,"27
"
"Entidad federativa","ENT","Alfanumérico",2,"28
"
"Entidad federativa","ENT","Alfanumérico",2,"29
"
"Entidad federativa","ENT","Alfanumérico",2,"30
"
"Entidad federativa","ENT","Alfanumérico",2,"31
"
"Entidad federativa","ENT","Alfanumérico",2,"32
"
"Tamaño de localidad","TLOC","Alfanumérico",1,"1
"
"Tamaño de localidad","TLOC","Alfanumérico",1,"2
"
"Tamaño de localidad","TLOC","Alfanumérico",1,"3
"
"Tamaño de localidad","TLOC","Alfanumérico",1,"4
"
"Dominio","DOMINIO","Alfanumérico",1,"U
"
"Dominio","DOMINIO","Alfanumérico",1,"R
"
"Estrato sociodemográfico","ESTRATO","Numérico",1,"1
"
"Estrato sociodemográfico","ESTRATO","Numérico",1,"2
"
"Estrato sociodemográfico","ESTRATO","Numérico",1,"3
"
"Estrato sociodemográfico","ESTRATO","Numérico",1,"4
"
"Estrato de Diseño","EST_DIS","Alfanumérico",3,"001 - 999
"
"Unidad primaria de muestreo de diseño","UPM_DIS","Alfanumérico",5,"00001 - 99999
"
"Factor","FAC_VIV","Numérico",5,"1 - 99999
"
